query_id,texte,langue,intention,faq_target_id,source,score
Q_001_FR,Pourquoi vacciner mon enfant même s'il semble en bonne santé,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_002_FR,Pourquoi le vaccin contre la coqueluche est-il important pour les bébés,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_003_FR,Pourquoi le vaccin de la rougeole se donne à neuf mois,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_004_FR,Le vaccin protège-t-il contre la paralysie,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_005_FR,Pourquoi les vaccins sont-ils importants pour la santé de mon enfant,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_006_FR,Est-ce que mon enfant doit recevoir tous les vaccins du carnet,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_007_FR,Contre quoi protège le vaccin Rota,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_008_FR,Le vaccin contre la rougeole évite quelles complications,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_009_FR,Le vaccin peut-il empêcher les épidémies dans mon quartier,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_010_FR,Mon bébé peut-il être malade sans vaccin,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_011_FR,À quoi servent les vaccins pour les bébés,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_012_FR,Pourquoi vacciner contre la rougeole,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_013_FR,Les vaccins aident-ils à protéger aussi les autres enfants,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_014_FR,C'est quoi l'immunité que donne le vaccin,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_015_FR,Le vaccin Penta protège contre quoi exactement,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_016_FR,Pourquoi donne-t-on le vaccin contre la polio en gouttes dans la bouche,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_017_FR,Quel vaccin protège contre le tétanos,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_018_FR,Pourquoi faut-il vacciner mon enfant dès la naissance,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_019_FR,Contre quelles maladies le vaccin protège-t-il mon bébé,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_020_FR,Pourquoi les nouveau-nés reçoivent-ils un vaccin dès la naissance,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_021_FR,Le BCG protège contre quelle maladie,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_022_FR,Le BCG évite quelle forme de tuberculose,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_023_FR,Pourquoi vacciner contre Haemophilus influenzae type b,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_024_FR,Quel est le rôle des vaccins dans la lutte contre les épidémies,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_025_FR,Le vaccin contre la diphtérie protège de quoi,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_026_FR,Le vaccin contre l'hépatite B est-il donné aux enfants,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_027_FR,Quelle est l'importance du vaccin dans la prévention des maladies,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_028_FR,Quelles maladies évite le vaccin contre la poliomyélite,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_029_FR,Est-ce que la vaccination peut faire disparaître une maladie,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_030_FR,Pourquoi le carnet recommande-t-il autant de vaccins,fra,UTILITE_VACCIN,FAQ_001,seed_curated,1.0
Q_031_FR,Les vaccins sont-ils sûrs pour les bébés prématurés,fra,SECURITE_VACCIN,FAQ_002,seed_curated,1.0
Q_032_FR,Le vaccin peut-il brûler la peau de mon enfant,fra,SECURITE_VACCIN,FAQ_002,seed_curated,1.0
Q_033_FR,Quels sont les effets à long terme des vaccins,fra,SECURITE_VACCIN,FAQ_002,seed_curated,1.0
Q_034_FR,Est-ce que recevoir trop de vaccins à la fois c'est dangereux,fra,SECURITE_VACCIN,FAQ_002,seed_curated,1.0
Q_035_FR,Y a-t-il de l'aluminium dans les vaccins,fra,SECURITE_VACCIN,FAQ_002,seed_curated,1.0
Q_036_FR,Y a-t-il des risques à vacciner un enfant enrhumé,fra,SECURITE_VACCIN,FAQ_002,seed_curated,1.0
Q_037_FR,Les vaccins sont-ils fabriqués avec du sang,fra,SECURITE_VACCIN,FAQ_002,seed_curated,1.0
Q_038_FR,Les vaccins donnés au Congo sont-ils de bonne qualité,fra,SECURITE_VACCIN,FAQ_002,seed_curated,1.0
Q_039_FR,Les vaccins peuvent-ils être périmés au centre de santé,fra,SECURITE_VACCIN,FAQ_002,seed_curated,1.0
Q_040_FR,Les vaccins sont-ils testés avant d'être donnés aux enfants,fra,SECURITE_VACCIN,FAQ_002,seed_curated,1.0
Q_041_FR,Est-ce que le vaccin est dangereux pour mon bébé,fra,SECURITE_VACCIN,FAQ_002,seed_curated,1.0
Q_042_FR,Les vaccins peuvent-ils rendre mon enfant malade,fra,SECURITE_VACCIN,FAQ_002,seed_curated,1.0
Q_043_FR,Est-ce que je peux refuser un vaccin si j'ai peur,fra,SECURITE_VACCIN,FAQ_002,seed_curated,1.0
Q_044_FR,Le vaccin contre la rougeole est-il dangereux,fra,SECURITE_VACCIN,FAQ_002,seed_curated,1.0
Q_045_FR,Est-ce que le vaccin est sans danger pour les nourrissons,fra,SECURITE_VACCIN,FAQ_002,seed_curated,1.0
Q_046_FR,Est-ce que le vaccin fait grossir ou maigrir,fra,SECURITE_VACCIN,FAQ_002,seed_curated,1.0
